"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.530480466757496,0.525689451112164,0.530480466757496,271.674935936933,279.490446494898,"1"
2,0.848765373661616,0.845647133943299,0.424382686830808,160.387190493717,170.80787123767,"1,2"
3,0.966660720773416,0.965618868297585,0.322220240257805,11.177571544633,24.2034224745734,"1,2,3"
4,0.967542329940644,0.966175691201303,0.241885582485161,10.4976237921769,26.1286449081055,"1,2,3,5"
5,0.967895888415863,0.966188222906068,0.193579177683173,11.4023565902882,29.6385478922048,"1,2,3,4,5"
6,0.968129378565454,0.966073209440645,0.161354896427576,12.6724084519632,33.5137699398679,"1,2,3,4,5,8"
7,0.968339877883711,0.965930955548776,0.138334268269102,14.00973687974,37.4562685536328,"1,2,3,4,5,7,8"
8,0.968514983816647,0.965747070306022,0.121064372977081,15.4551213178654,41.5068231777463,"1,2,3,4,5,6,7,8"
9,0.968611242118063,0.965472366329869,0.107623471346451,17.1489256804831,45.8057977263521,"1,2,3,4,5,6,7,8,9"
10,0.968654682527954,0.965132736744578,0.0968654682527954,19.0104350226117,50.2724772544688,"1,2,3,4,5,6,7,8,9,10"
