"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.544006412879137,0.539353417092189,0.544006412879137,391.711736010314,399.527246568278,"2"
2,0.966750316024327,0.966064755529983,0.483375158012164,131.868387658474,142.289068402427,"1,2"
3,0.994744794543781,0.994580569373274,0.33158159818126,-50.6142285133847,-37.5883775834443,"1,2,3"
4,0.994850833570551,0.994634026562995,0.248712708392638,-50.6526542765207,-35.0216331605921,"1,2,3,7"
5,0.99494937799424,0.99468072788755,0.198989875598848,-50.5849980820882,-32.3488067801715,"1,2,3,7,10"
6,0.995038230481322,0.994718116318827,0.16583970508022,-50.3598951069119,-29.5185336190071,"1,2,3,7,8,10"
7,0.995086061166486,0.99471217451611,0.142155151595212,-49.3285559351819,-25.882024261289,"1,2,3,4,7,8,10"
8,0.995119338799132,0.994690269682573,0.124389917349892,-48.0080683312996,-21.9563664714187,"1,2,3,4,5,7,8,10"
9,0.99512283717571,0.994635120893281,0.110569204130634,-46.0797723652817,-17.4229003194127,"1,2,3,4,5,6,7,8,10"
10,0.995124816390258,0.994577042950961,0.0995124816390258,-44.1203618703581,-12.858319638501,"1,2,3,4,5,6,7,8,9,10"
