"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.152996151051119,0.144353254633273,0.152996151051119,268.847555201216,276.663065759181,"10"
2,0.299213030666772,0.284763814804231,0.149606515333386,251.897425861822,262.318106605774,"5,7"
3,0.42075783881815,0.402656521281217,0.140252612939383,234.849094367491,247.874945297431,"5,6,8"
4,0.538259934973978,0.518818248025514,0.134564983743494,214.177241608927,229.808262724855,"5,6,8,9"
5,0.630124226741795,0.61044998348338,0.126024845348359,193.993751446839,212.229942748756,"4,5,6,8,9"
6,0.733390705267447,0.716190105607283,0.122231784211241,163.255458425682,184.096819913586,"2,3,5,7,9,10"
7,0.795296124029123,0.779720829118295,0.11361373200416,138.833474052946,162.280005726839,"1,2,3,5,7,9,10"
8,0.868527586416522,0.856969572035557,0.108565948302065,96.5567360132092,122.60843787309,"1,2,3,5,7,8,9,10"
9,0.925520360956668,0.918072397052335,0.102835595661852,41.7296099756963,70.3864820215653,"1,2,3,5,6,7,8,9,10"
10,1,1,0.1,-6816.02289014087,-6784.76084790901,"1,2,3,4,5,6,7,8,9,10"
