"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.512516134105556,0.507541808943368,0.512516134105556,398.389580830817,406.205091388782,296.245626030673,607.703447758453
2,1,"2",0.544006412879137,0.539353417092189,0.544006412879137,391.711736010314,399.527246568278,277.108875049093,607.703447758453
3,2,"1,2",0.966750316024327,0.966064755529983,0.483375158012164,131.868387658474,142.289068402427,20.2059475888954,607.703447758453
4,1,"3",0.0674713115111037,0.057955712648972,0.0674713115111037,463.253853019936,471.069363577901,566.70089912837,607.703447758453
5,2,"1,3",0.56734552145279,0.55842481055491,0.283672760726395,388.457805245061,398.878485989014,262.925618301275,607.703447758453
6,2,"2,3",0.578071899182725,0.569372350712266,0.289035949591363,385.9473536329,396.368034376853,256.407161572834,607.703447758453
7,3,"1,2,3",0.994744794543781,0.994580569373274,0.33158159818126,-50.6142285133847,-37.5883775834443,3.19360647442343,607.703447758453
8,1,"4",0.000191689452783583,-0.010010436165045,0.000191689452783583,470.220218517367,478.035729075331,607.586957417097,607.703447758453
9,2,"1,4",0.514708459230156,0.504702448080263,0.257354229615078,399.938843934869,410.359524678821,294.913342493846,607.703447758453
10,2,"2,4",0.544150514412279,0.534751555946553,0.272075257206139,393.680129358105,404.100810102057,277.021304050575,607.703447758453
11,3,"1,2,4",0.968534215317483,0.967550909546154,0.322844738439161,128.353936895231,141.379787825172,19.1218658379908,607.703447758453
12,2,"3,4",0.0690526108288311,0.0498578192995286,0.0345263054144155,465.084137967917,475.50481871187,565.739938081049,607.703447758453
13,3,"1,3,4",0.567347093504263,0.553826690176271,0.189115697834754,390.457441894072,403.483292824013,262.924662960175,607.703447758453
14,3,"2,3,4",0.578758591399829,0.565594797381073,0.19291953046661,387.784470046324,400.810320976265,255.989856344951,607.703447758453
15,4,"1,2,3,4",0.994809012245004,0.994590444339531,0.248702253061251,-49.8437388029841,-34.2127176870556,3.15458115598273,607.703447758453
16,1,"5",0.0217076722759467,0.0117250975032523,0.0217076722759467,468.044714299445,475.860224857409,594.511620473549,607.703447758453
17,2,"1,5",0.523699119070477,0.51387848235028,0.261849559535238,398.06883713508,408.489517879032,289.44968751126,607.703447758453
18,2,"2,5",0.545663253796006,0.536295485833037,0.272831626898003,393.347726884026,403.768407627979,276.102007111524,607.703447758453
19,3,"1,2,5",0.966873799812498,0.965838606056639,0.322291266604166,133.496312974463,146.522163904404,20.1309060650816,607.703447758453
20,2,"3,5",0.0863071176010322,0.0674680890979605,0.0431535588005161,463.213311412681,473.633992156633,555.254314826211,607.703447758453
21,3,"1,3,5",0.576773004726029,0.563547161123717,0.19225766824201,388.254728098334,401.280579028274,257.196504212443,607.703447758453
22,3,"2,3,5",0.579379733049163,0.56623534970695,0.193126577683054,387.636906193477,400.662757123417,255.612386423104,607.703447758453
23,4,"1,2,3,5",0.994796430308868,0.994577332637663,0.248699107577217,-49.6016516848688,-33.9706305689402,3.16222724195222,607.703447758453
24,2,"4,5",0.0218446685053442,0.00167651734050578,0.0109223342526721,470.03070971016,480.451390454112,594.428367392615,607.703447758453
25,3,"1,4,5",0.525724374853605,0.51090326156778,0.175241458284535,399.642725436635,412.668576366575,288.21893258926,607.703447758453
26,3,"2,4,5",0.545793721146226,0.531599774932046,0.181931240382075,395.319006757952,408.344857687893,276.022721652976,607.703447758453
27,4,"1,2,4,5",0.968642747278989,0.967322441901262,0.242160686819747,130.008420110418,145.639441226347,19.0559105907914,607.703447758453
28,3,"3,4,5",0.0879625274713222,0.059461356454801,0.0293208424904407,465.03196915483,478.057820084771,554.248316540583,607.703447758453
29,4,"1,3,4,5",0.576777886484866,0.558958008021071,0.144194471621217,390.253574630562,405.884595746491,257.193537550766,607.703447758453
30,4,"2,3,4,5",0.580084609524706,0.562403961504694,0.145021152381177,389.469185375317,405.100206491245,255.184030558673,607.703447758453
31,5,"1,2,3,4,5",0.994859292969878,0.994585851106574,0.198971858593976,-48.8170761475239,-30.5808848456072,3.12402538612098,607.703447758453
32,1,"6",1.0473955747603e-05,-0.0101935007998062,1.0473955747603e-05,470.238341899062,478.053852457026,607.697082699433,607.703447758453
33,2,"1,6",0.519496413896277,0.509589123461148,0.259748206948138,398.947330567676,409.368011311628,292.003685935533,607.703447758453
34,2,"2,6",0.548221415436943,0.538906393074818,0.274110707718471,392.783081667072,403.203762411025,274.547403462404,607.703447758453
35,3,"1,2,6",0.967118638976191,0.966091096444197,0.32237287965873,132.754457701851,145.780308631792,19.9821164611588,607.703447758453
36,2,"3,6",0.068298855666506,0.0490885227936504,0.034149427833253,465.16507166957,475.585752413522,566.19799769196,607.703447758453
37,3,"1,3,6",0.570917999154276,0.557509186627847,0.190305999718092,389.628665884391,402.654516814331,260.754611285042,607.703447758453
38,3,"2,3,6",0.584772265553794,0.57179639885235,0.194924088517931,386.346574143904,399.372425073844,252.33532582789,607.703447758453
39,4,"1,2,3,6",0.994756663921224,0.994535891875802,0.248689165980306,-48.8403433972693,-33.2093222813407,3.18639341282822,607.703447758453
40,2,"4,6",0.000194822359033231,-0.0204197173861413,9.74111795166155e-05,472.219905166185,482.640585910137,607.585053539168,607.703447758453
