"p","R2","adjR2","Mp","AIC","BIC","subset_str"
1,0.434338429248742,0.428566372404341,0.434338429248742,279.190105090406,287.00561564837,"1"
2,0.714399072438024,0.70851039351922,0.357199536219012,212.850056129428,223.270736873381,"1,2"
3,0.889731744977784,0.88628586200834,0.296577248325928,119.682116212127,132.707967142067,"1,2,3"
4,0.892918683897836,0.88840999690406,0.223229670974459,118.749359247555,134.380380363483,"1,2,3,10"
5,0.894557532388898,0.88894889049469,0.17891150647778,119.207055653691,137.443246955608,"1,2,3,9,10"
6,0.895185335157949,0.888423098716527,0.149197555859658,120.609877686448,141.451239174353,"1,2,3,8,9,10"
7,0.895596315231695,0.88765255660802,0.127942330747385,122.217005260936,145.663536934829,"1,2,3,5,8,9,10"
8,0.89570554524388,0.886536801968616,0.111963193155485,124.112327737306,150.164029597187,"1,2,3,5,7,8,9,10"
9,0.895752942458716,0.885328236704588,0.0995281047176351,126.066871832503,154.723743878372,"1,2,3,4,5,7,8,9,10"
10,0.895753109583384,0.884039975828708,0.0895753109583384,128.066711516417,159.328753748274,"1,2,3,4,5,6,7,8,9,10"
