"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
1,1,0.509712886481917,0.509712886481917,293.011924164719,297.226532263141,FALSE,FALSE,FALSE,"1","1","1","1","1,2,3,4,7,10,12,20"
1,2,0.865178813644351,0.432589406822175,-350.508981096132,-342.079764899288,FALSE,FALSE,FALSE,"1,7","1,2","1,2","1,2","1,2,3,4,7,10,12,20"
1,3,0.981157413309072,0.327052471103024,-1332.42387979377,-1319.7800554985,FALSE,FALSE,FALSE,"1,7,3","1,2,3","1,2,3","1,2,3","1,2,3,4,7,10,12,20"
1,4,0.986342961393731,0.246585740348433,-1491.35613979525,-1474.49770740156,FALSE,FALSE,FALSE,"1,7,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4,7,10,12,20"
1,5,0.987717056645212,0.197543411329042,-1542.37786813025,-1521.30482763814,FALSE,FALSE,FALSE,"1,7,3,4,20","1,2,3,4,5","1,2,3,4,5","1,2,3,4,7","1,2,3,4,7,10,12,20"
1,6,0.98803095150114,0.16467182525019,-1553.32164560436,-1528.03399701383,FALSE,FALSE,FALSE,"1,7,3,4,20,10","1,2,3,4,5,6","1,2,3,4,5,6","1,2,3,4,7,10","1,2,3,4,7,10,12,20"
1,7,0.98826455319057,0.141180650455796,-1561.17670680612,-1531.67445011717,FALSE,FALSE,TRUE,"1,7,3,4,20,10,2","1,2,3,4,5,6,7","1,2,3,4,5,6,7","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,8,0.988325975565331,0.123540746945666,-1561.80053863364,-1528.08367384626,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12","1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,9","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,9,0.988376902236272,0.10981965580403,-1561.98650613743,-1524.05503325163,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5","1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,9,10","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,10,0.988429475926736,0.0988429475926736,-1562.25324053863,-1520.10715955441,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6","1,2,3,4,5,6,7,8,9,10","1,2,3,4,5,6,7,9,10,16","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,11,0.988486209727161,0.0898623827024692,-1562.71092300659,-1516.35023392394,FALSE,TRUE,FALSE,"1,7,3,4,20,10,2,12,5,6,8","1,2,3,4,5,6,7,8,9,10,11","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,12,0.988527773621032,0.0823773144684193,-1562.51915014749,-1511.94385296642,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9","1,2,3,4,5,6,7,8,9,10,11,12","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,13,0.988561891932124,0.0760432224563172,-1562.00836176913,-1507.21845648964,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11","1,2,3,4,5,6,7,8,9,10,11,12,14","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,14,0.988573073955387,0.0706123624253848,-1560.49740648693,-1501.49289310902,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13","1,2,3,4,5,6,7,8,9,10,11,12,14,15","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,15,0.988578898592048,0.0659052599061366,-1558.752336012,-1495.53321453566,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,16,0.988583220034259,0.0617864512521412,-1556.94155856691,-1489.50782899215,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,17,0.98858474246794,0.0581520436745847,-1555.00823827884,-1483.35990060566,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14,15,16","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,18,0.98858569666866,0.0549214275927033,-1553.05003499697,-1477.18708922537,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14,15,16,17","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,19,0.988585964861651,0.0520308402558764,-1551.06178324538,-1470.98422937536,TRUE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14,15,16,17,18","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
1,20,0.988585991127921,0.0494292995563961,-1549.06293385952,-1464.77077189107,FALSE,FALSE,FALSE,"1,7,3,4,20,10,2,12,5,6,8,9,11,13,14,15,16,17,18,19","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20","1,2,3,4,5,6,7,9,10,16,20","1,2,3,4,7,10,20","1,2,3,4,7,10,12,20"
2,1,0.438926112588031,0.438926112588031,391.288250237309,395.502858335731,FALSE,FALSE,FALSE,"1","1","1","1","1,3,4,7,12,13,16,20"
2,2,0.8394751585344,0.4197375792672,-232.413698456021,-223.984482259177,FALSE,FALSE,FALSE,"1,4","1,2","1,3","1,3","1,3,4,7,12,13,16,20"
2,3,0.977167918415155,0.325722639471718,-1205.55473449829,-1192.91091020302,FALSE,FALSE,FALSE,"1,4,16","1,2,3","1,3,4","1,3,4","1,3,4,7,12,13,16,20"
2,4,0.98391716412087,0.245979291030218,-1378.76174707436,-1361.90331468067,FALSE,FALSE,FALSE,"1,4,16,12","1,2,3,4","1,3,4,5","1,3,4,8","1,3,4,7,12,13,16,20"
2,5,0.987984872375929,0.197596974475186,-1522.55480589926,-1501.48176540715,FALSE,FALSE,FALSE,"1,4,16,12,3","1,2,3,4,5","1,3,4,5,6","1,3,4,8,12","1,3,4,7,12,13,16,20"
2,6,0.990195125907247,0.165032520984541,-1622.19824227653,-1596.910593686,FALSE,FALSE,FALSE,"1,4,16,12,3,20","1,2,3,4,5,6","1,3,4,5,6,8","1,3,4,8,12,16","1,3,4,7,12,13,16,20"
2,7,0.990371994036041,0.14148171343372,-1629.29998181629,-1599.79772512734,FALSE,FALSE,TRUE,"1,4,16,12,3,20,13","1,2,3,4,5,6,7","1,3,4,5,6,8,9","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,8,0.990469243898813,0.123808655487352,-1632.37602470953,-1598.65915992215,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7","1,2,3,4,5,6,7,8","1,3,4,5,6,8,9,12","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,9,0.990549885044164,0.11006109833824,-1634.62459846093,-1596.69312557513,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2","1,2,3,4,5,6,7,8,9","1,3,4,5,6,8,9,12,16","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,10,0.990628508640077,0.0990628508640077,-1636.80192806409,-1594.65584707987,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5","1,2,3,4,5,6,7,8,9,10","1,3,4,5,6,8,9,12,16,17","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,11,0.990668864148086,0.0900608058316442,-1636.95967682216,-1590.59898773951,FALSE,TRUE,FALSE,"1,4,16,12,3,20,13,7,2,5,6","1,2,3,4,5,6,7,8,9,10,11","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,12,0.990685775301252,0.082557147941771,-1635.86666694217,-1585.2913697611,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8","1,2,3,4,5,6,7,8,9,10,11,12","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,13,0.990697526165289,0.0762075020127145,-1634.49786723669,-1579.7079619572,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9","1,2,3,4,5,6,7,8,9,10,11,12,14","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,14,0.990708169645145,0.0707648692603675,-1633.07027268461,-1574.0657593067,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10","1,2,3,4,5,6,7,8,9,10,11,12,14,15","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,15,0.990716413977663,0.0660477609318442,-1631.51410300808,-1568.29498153175,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,16,0.99072025430097,0.0619200158938106,-1629.72097984565,-1562.28725027089,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11,14","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,17,0.99072378384762,0.0582778696380953,-1627.911190772,-1556.26285309882,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11,14,15","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,18,0.990726181475595,0.0550403434153108,-1626.04044271304,-1550.17749694144,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11,14,15,17","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,19,0.990727198164747,0.052143536745513,-1624.09526074098,-1544.01770687096,TRUE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11,14,15,17,18","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
2,20,0.990727962693327,0.0495363981346663,-1622.13648668932,-1537.84432472087,FALSE,FALSE,FALSE,"1,4,16,12,3,20,13,7,2,5,6,8,9,10,11,14,15,17,18,19","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20","1,3,4,5,6,8,9,12,16,17,20","1,3,4,8,12,16,20","1,3,4,7,12,13,16,20"
3,1,0.513910635830157,0.513910635830157,202.525645452767,206.740253551189,FALSE,FALSE,FALSE,"17","1","1","1","1,4,5,6,9,11,17,19"
3,2,0.857096320482147,0.428548160241073,-407.585179739865,-399.155963543021,FALSE,FALSE,FALSE,"17,9","1,2","1,4","1,5","1,4,5,6,9,11,17,19"
3,3,0.973105182093802,0.324368394031267,-1240.70378391344,-1228.05995961817,FALSE,FALSE,FALSE,"17,9,1","1,2,3","1,4,5","1,5,9","1,4,5,6,9,11,17,19"
3,4,0.983587281994619,0.245896820498655,-1485.64233527838,-1468.7839028847,FALSE,FALSE,FALSE,"17,9,1,19","1,2,3,4","1,4,5,9","1,5,9,10","1,4,5,6,9,11,17,19"
3,5,0.98568913037618,0.197137826075236,-1552.16091545231,-1531.0878749602,FALSE,FALSE,FALSE,"17,9,1,19,5","1,2,3,4,5","1,4,5,9,10","1,5,9,10,11","1,4,5,6,9,11,17,19"
3,6,0.987146570249929,0.164524428374988,-1603.86525531803,-1578.5776067275,FALSE,FALSE,FALSE,"17,9,1,19,5,11","1,2,3,4,5,6","1,4,5,9,10,11","1,5,9,10,11,17","1,4,5,6,9,11,17,19"
3,7,0.987436091510459,0.141062298787208,-1613.25644743972,-1583.75419075076,FALSE,FALSE,TRUE,"17,9,1,19,5,11,6","1,2,3,4,5,6,8","1,4,5,9,10,11,16","1,5,9,10,11,17,19","1,4,5,6,9,11,17,19"
3,8,0.987506334928153,0.123438291866019,-1614.05973569596,-1580.34287090859,FALSE,FALSE,FALSE,"17,9,1,19,5,11,6,4","1,2,3,4,5,6,8,9","1,4,5,9,10,11,16,17","1,5,9,10,11,17,19","1,4,5,6,9,11,17,19"
