"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.798535116870388,0.796479352756821,0.798535116870388,289.770129477344,297.585640035309,99.9824243811028,496.277181551186
3,2,"1,2",0.944283480694372,0.943134686481884,0.472141740347186,163.236288521297,173.656969265249,27.6508371668395,496.277181551186
7,3,"1,2,3",0.970315111720073,0.969387458961326,0.323438370573358,102.272431004331,115.298281934271,14.7319326902238,496.277181551186
15,4,"1,2,3,4",0.985163697083516,0.984539010644927,0.246290924270879,34.9163282931495,50.5473494090781,7.36291859603251,496.277181551186
31,5,"1,2,3,4,5",0.99191219157879,0.991481989003193,0.198382438315758,-23.755599950918,-5.51940864900133,4.01379476820424,496.277181551186
543,6,"1,2,3,4,5,10",0.992002816997226,0.991486869706724,0.165333802832871,-22.8824439136692,-2.04108242576443,3.96881944096578,496.277181551186
575,7,"1,2,3,4,5,6,10",0.992152303804976,0.991555196485789,0.141736043400711,-22.7693783772553,0.677153296637563,3.89463254933673,496.277181551186
703,8,"1,2,3,4,5,6,8,10",0.992197268061658,0.99151131360554,0.124024658507707,-21.3439873274658,4.70771453241508,3.87231781475958,496.277181551186
959,9,"1,2,3,4,5,6,8,9,10",0.99224666139743,0.991471327537173,0.110249629044159,-19.9790256121481,8.67784643372086,3.8478050292954,496.277181551186
1023,10,"1,2,3,4,5,6,7,8,9,10",0.992249955613084,0.991379164108936,0.0992249955613084,-18.0215223460014,13.2405198858557,3.84617018523517,496.277181551186
