"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.100480133457902,0.191691503241436,0.00756353795405562,0.585590512100804,0.100480133457902,0.585590512100804,0.0913013593095128,0.581361843856935,263.412784407978,271.228294965942
2,45,0.100179327917335,0.122089743257594,0.0450704570205845,0.432318500689588,0.200358655834671,0.864637001379177,0.183871205439509,0.861846011716892,153.523330643111,163.944011387064
3,120,0.0998783240923452,0.092246715648505,0.0965715879865042,0.326106480042382,0.299634972277036,0.978319440127146,0.277748565160693,0.977641922631119,-27.6310741481387,-14.6052232181982
4,210,0.0995792010789974,0.0735935661995787,0.0878103899310317,0.244778782697322,0.39831680431599,0.979115130789286,0.372982775024031,0.978235767875151,-29.3701806538598,-13.7391595379312
5,252,0.0992843201960033,0.0599091037880408,0.0994255482845446,0.19589025237204,0.496421600980017,0.979451261860201,0.469635515925762,0.978358243874041,-28.9927207445449,-10.7565294426282
6,210,0.098996275337247,0.0488394255234831,0.106691256459245,0.163273340121516,0.593977652023482,0.979640040729098,0.567782661831449,0.978326494969685,-27.9156550879581,-7.0742936000534
7,120,0.0987178226440699,0.0391789024611966,0.0986089178279745,0.139952369230618,0.691024758508489,0.979666584614324,0.667515772742831,0.978119476921936,-26.0461131254862,-2.59958145159342
8,45,0.0984517977658175,0.0301176994092317,0.10912945494896,0.122459635721246,0.78761438212654,0.979677085769971,0.768943119016785,0.977890455947551,-24.0977712853827,1.9539305744982
9,10,0.0982010253378298,0.020930972377506,0.108825868006513,0.108853421276992,0.883809228040468,0.979680791492926,0.872190150844515,0.977648870642219,-22.1160071584927,6.54086488737632
10,1,0.0979682187828062,NA,0.0979682187828062,0.0979682187828062,0.979682187828062,0.979682187828062,0.977399287584024,0.977399287584024,-20.12287939033,11.1391628415271
