"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,11,0.088694134886992,0.158452327568091,0.00877858281774491,0.448937127574981,0.088694134886992,0.448937127574981,0.0793950954470633,0.443314037040032,271.761644487684,279.577155045648
2,55,0.0887244193888113,0.103099083842066,0.0330487255089612,0.423189755983305,0.177448838777623,0.846379511966611,0.16048902102046,0.843212079223654,146.025273365155,156.445954109107
3,165,0.0887606564587718,0.0795586922065196,0.049115608085846,0.324133253475858,0.266281969376315,0.972399760427575,0.243353280919325,0.971537252940937,-23.6408010955232,-10.6149501655827
4,330,0.0888010512869789,0.064933167527371,0.0957112771034043,0.243363705185178,0.355204205147916,0.97345482074071,0.328054908522565,0.972337128982425,-25.5384304754084,-9.90740935947988
5,462,0.088842597939682,0.0542431246017487,0.0903337200328372,0.194893093375805,0.44421298969841,0.974465466879025,0.414649850852581,0.973107247032165,-27.4200687754381,-9.18387747352148
6,462,0.0888807067868841,0.0456163305579843,0.078811377548851,0.162468373563099,0.533284240721304,0.974810241378597,0.503173546574292,0.973185095661087,-26.7794955800639,-5.93813409215919
7,330,0.0889086882191882,0.0381181556378806,0.0854065856000485,0.139298262427524,0.622360817534317,0.97508783699267,0.593627401477146,0.973192346329069,-25.8876305405055,-2.44109886661263
8,165,0.0889170543528514,0.0311641488958453,0.106041192695685,0.121906248339768,0.711336434822811,0.975249986718145,0.685959418103937,0.973074161374685,-24.5406438145825,1.51105804529845
9,55,0.088892602902804,0.0242838064254714,0.108224663412732,0.108365992935493,0.800033426125236,0.975293936419439,0.780036768737759,0.972823330061383,-22.7183761203043,5.93849592556468
10,11,0.0888172552307866,0.016989130423989,0.0974965876823551,0.0975328782595967,0.888172552307866,0.975328782595967,0.875607670544705,0.972556735696638,-20.8595186928328,10.4025235390243
11,1,0.0886666469726686,NA,0.0886666469726686,0.0886666469726686,0.975333116699355,0.975333116699355,0.972249756286774,0.972249756286774,-18.8770876844924,14.9901247333528
