"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
1,1,0.556777779082033,0.556777779082033,360.364448115574,364.579056213996,FALSE,FALSE,FALSE,"1","1","1","1","1,3,7"
1,2,0.873590512831533,0.436795256415767,-264.907919893339,-256.478703696495,FALSE,FALSE,FALSE,"1,3","1,3","1,3","1,3","1,3,7"
1,3,0.991130801322698,0.330376933774233,-1591.37896196627,-1578.73513767101,TRUE,FALSE,TRUE,"1,3,7","1,3,7","1,3,7","1,3,7","1,3,7"
1,4,0.991187276608991,0.247796819152248,-1592.57292912198,-1575.71449672829,FALSE,TRUE,FALSE,"1,3,7,2","1,3,7,17","1,3,7,17","1,3,7,17","1,3,7"
1,5,0.991210179347125,0.198242035869425,-1591.87403372368,-1570.80099323157,FALSE,FALSE,FALSE,"1,3,7,2,4","1,3,5,7,17","1,3,5,7,17","1,3,5,7,17","1,3,7"
1,6,0.991229601343517,0.165204933557253,-1590.9800566024,-1565.69240801187,FALSE,FALSE,FALSE,"1,3,7,2,4,5","1,3,5,7,13,17","1,3,5,7,13,17","1,3,5,7,13,17","1,3,7"
1,7,0.991244425859122,0.141606346551303,-1589.82591659043,-1560.32365990148,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6","1,3,5,7,13,15,17","1,3,5,7,13,15,17","1,3,5,7,13,15,17","1,3,7"
1,8,0.991256980137013,0.123907122517127,-1588.54336166303,-1554.82649687565,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8","1,3,5,7,13,15,17,20","1,3,5,7,13,15,17,20","1,3,5,7,13,15,17,20","1,3,7"
1,9,0.991264738706345,0.110140526522927,-1586.98725942233,-1549.05578653653,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9","1,3,5,7,13,15,17,18,20","1,3,5,7,13,15,17,18,20","1,3,5,7,13,15,17,18,20","1,3,7"
1,10,0.991274143006065,0.0991274143006065,-1585.5258446649,-1543.37976368068,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10","1,2,3,5,6,7,13,15,17,20","1,2,3,5,6,7,13,15,17,20","1,2,3,5,6,7,13,15,17,20","1,3,7"
1,11,0.991281701605231,0.0901165183277483,-1583.95914736551,-1537.59845828287,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11","1,2,3,5,6,7,13,15,16,17,20","1,2,3,5,6,7,13,15,16,17,20","1,2,3,5,6,7,13,15,16,17,20","1,3,7"
1,12,0.991288986340762,0.0826074155283968,-1582.37710625751,-1531.80180907645,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12","1,2,3,5,6,7,11,13,15,16,17,20","1,2,3,5,6,7,11,13,15,16,17,20","1,2,3,5,6,7,11,13,15,16,17,20","1,3,7"
