"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
1,1,0.439482205999594,0.439482205999594,361.376393799826,365.591001898248,FALSE,FALSE,FALSE,"1","1","1","1","1,3,7"
1,2,0.838321208192303,0.419160604096151,-258.248300367421,-249.819084170577,FALSE,FALSE,FALSE,"1,3","1,2","1,3","1,3","1,3,7"
1,3,0.988812561139305,0.329604187046435,-1591.65829122198,-1579.01446692671,FALSE,FALSE,TRUE,"1,3,7","1,2,3","1,3,5","1,3,7","1,3,7"
1,4,0.988856504646986,0.247214126161747,-1591.62612489977,-1574.76769250609,FALSE,FALSE,FALSE,"1,3,7,2","1,2,3,5","1,3,5,7","1,3,7","1,3,7"
1,5,0.98890658025364,0.197781316050728,-1591.87804208688,-1570.80500159477,FALSE,FALSE,FALSE,"1,3,7,2,4","1,2,3,5,6","1,3,5,7,16","1,3,7","1,3,7"
1,6,0.988951055950048,0.164825175991675,-1591.88666937849,-1566.59902078795,FALSE,TRUE,FALSE,"1,3,7,2,4,5","1,2,3,5,6,7","1,3,5,7,16,17","1,3,7","1,3,7"
1,7,0.988963899953039,0.141280557136148,-1590.46823962042,-1560.96598293146,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6","1,2,3,5,6,7,8","1,3,5,7,16,17","1,3,7","1,3,7"
1,8,0.988975000664966,0.123621875083121,-1588.97142002279,-1555.25455523541,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8","1,2,3,5,6,7,8,9","1,3,5,7,16,17","1,3,7","1,3,7"
1,9,0.988984067611571,0.109887118623508,-1587.38278861786,-1549.45131573206,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9","1,2,3,5,6,7,8,9,10","1,3,5,7,16,17","1,3,7","1,3,7"
1,10,0.988991876222613,0.0988991876222613,-1585.73733781217,-1543.59125682795,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10","1,2,3,5,6,7,8,9,10,11","1,3,5,7,16,17","1,3,7","1,3,7"
1,11,0.989005715751548,0.089909610522868,-1584.36633854446,-1538.00564946182,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11","1,2,3,5,6,7,8,9,10,11,12","1,3,5,7,16,17","1,3,7","1,3,7"
1,12,0.989009632193705,0.0824174693494755,-1582.54448292394,-1531.96918574288,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12","1,2,3,5,6,7,8,9,10,11,12,13","1,3,5,7,16,17","1,3,7","1,3,7"
1,13,0.989013988406515,0.0760779991081935,-1580.74270542401,-1525.95280014453,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13","1,2,3,5,6,7,8,9,10,11,12,13,14","1,3,5,7,16,17","1,3,7","1,3,7"
1,14,0.98901799793684,0.0706441427097743,-1578.92522217004,-1519.92070879213,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14","1,2,3,5,6,7,8,9,10,11,12,13,14,15","1,3,5,7,16,17","1,3,7","1,3,7"
1,15,0.989021876577666,0.0659347917718444,-1577.10184415102,-1513.88272267468,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16","1,3,5,7,16,17","1,3,7","1,3,7"
1,16,0.98902573651592,0.061814108532245,-1575.27767643345,-1507.8439468587,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15,16","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17","1,3,5,7,16,17","1,3,7","1,3,7"
1,17,0.989027009379313,0.0581780593752537,-1573.33567290935,-1501.68733523618,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15,16,17","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,3,5,7,16,17","1,3,7","1,3,7"
1,18,0.989027901224886,0.0549459945124937,-1571.37631277906,-1495.51336700746,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,3,5,7,16,17","1,3,7","1,3,7"
1,19,0.98902850214101,0.0520541316916321,-1569.40369735661,-1489.32614348659,TRUE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,3,5,7,16,17","1,3,7","1,3,7"
1,20,0.98902900666832,0.049451450333416,-1567.42669052113,-1483.13452855268,FALSE,FALSE,FALSE,"1,3,7,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,3,5,7,16,17","1,3,7","1,3,7"
2,1,0.486076920311711,0.486076920311711,498.830897289622,503.045505388044,FALSE,FALSE,FALSE,"16","1","1","1","1,4,16"
2,2,0.905008965108694,0.452504482554347,-343.314645841519,-334.885429644675,FALSE,FALSE,FALSE,"16,4","1,2","1,4","1,4","1,4,16"
2,3,0.99268671555199,0.330895571850663,-1623.35966375966,-1610.7158394644,FALSE,FALSE,FALSE,"16,4,1","1,2,3","1,4,8","1,4,8","1,4,16"
2,4,0.992786637510231,0.248196659377558,-1628.23830097175,-1611.37986857806,FALSE,TRUE,TRUE,"16,4,1,2","1,2,3,4","1,4,8,16","1,4,8,16","1,4,16"
2,5,0.992812768933263,0.198562553786653,-1628.05291032183,-1606.97986982972,FALSE,FALSE,FALSE,"16,4,1,2,3","1,2,3,4,5","1,4,8,16","1,4,8,16","1,4,16"
2,6,0.992837364348731,0.165472894058122,-1627.76689415434,-1602.4792455638,FALSE,FALSE,FALSE,"16,4,1,2,3,5","1,2,3,4,5,6","1,4,8,16","1,4,8,16","1,4,16"
2,7,0.992855479374398,0.141836497053485,-1627.03304621112,-1597.53078952217,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6","1,2,3,4,5,6,7","1,4,8,16","1,4,8,16","1,4,16"
2,8,0.992872703013925,0.124109087876741,-1626.23987552729,-1592.52301073991,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7","1,2,3,4,5,6,7,8","1,4,8,16","1,4,8,16","1,4,16"
2,9,0.992886940792612,0.110320771199179,-1625.23969486032,-1587.30822197452,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8","1,2,3,4,5,6,7,8,9","1,4,8,16","1,4,8,16","1,4,16"
2,10,0.992895210004484,0.0992895210004484,-1623.8213027172,-1581.67522173297,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9","1,2,3,4,5,6,7,8,9,10","1,4,8,16","1,4,8,16","1,4,16"
