"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.967635179151788,0.967304925877827,0.967635179151788,109.004224767705,116.819735325669,16.4008861557208,506.750407568751
3,2,"1,2",0.988118997635032,0.987874028514105,0.494059498817516,10.7910875581403,21.2117683020926,6.02070279077294,506.750407568751
7,3,"1,2,3",0.993347145491946,0.99313924378857,0.331115715163982,-45.1983797051357,-32.1725287751953,3.37133673345184,506.750407568751
135,4,"1,2,3,8",0.993438917057365,0.993162660933465,0.248359729264341,-44.5874136899294,-28.9563925740009,3.32483145527261,506.750407568751
647,5,"1,2,3,8,10",0.993541882396063,0.993198365502237,0.198708376479213,-44.1691926197344,-25.9330013178178,3.27265372792198,506.750407568751
679,6,"1,2,3,6,8,10",0.993584486107496,0.993170581985399,0.165597414351249,-42.8310706139444,-21.9897091260397,3.25106427978957,506.750407568751
687,7,"1,2,3,4,6,8,10",0.99360741790287,0.993121025786784,0.141943916843267,-41.1891538121942,-17.7426221383013,3.23944358313752,506.750407568751
703,8,"1,2,3,4,5,6,8,10",0.993638339514223,0.993079072658331,0.124204792439278,-39.6740383004186,-13.6223364405377,3.2237740439814,506.750407568751
767,9,"1,2,3,4,5,6,7,8,10",0.99364698965539,0.993011688620929,0.110405221072821,-37.8101038363146,-9.15323179044559,3.21939058141958,506.750407568751
1023,10,"1,2,3,4,5,6,7,8,9,10",0.993652717019411,0.992939539156424,0.0993652717019411,-35.9002964682962,-4.6382542364391,3.21648823736742,506.750407568751
