"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.672769901397673,0.669430818758874,0.672769901397673,367.030504577478,374.846015135442,216.50164928401,661.618995956475
3,2,"1,2",0.901351517314206,0.899317527980478,0.450675758657103,249.120430845116,259.541111589068,65.2677100672048,661.618995956475
7,3,"1,2,3",0.994773555634054,0.994610229247618,0.331591185211351,-42.6627349792553,-29.6368840493148,3.45791487381958,661.618995956475
39,4,"1,2,3,6",0.994784100199555,0.994564483365852,0.248696025049889,-40.8646928714161,-25.2336717554876,3.45093838897981,661.618995956475
55,5,"1,2,3,5,6",0.994792190625646,0.994515179488712,0.198958438125129,-39.0199241346781,-20.7837328327614,3.44558560939276,661.618995956475
567,6,"1,2,3,5,6,10",0.994799855714089,0.994464362534352,0.165799975952348,-37.167217062348,-16.3258555744433,3.44051424127347,661.618995956475
631,7,"1,2,3,5,6,7,10",0.99480498551738,0.994409712676311,0.142114997931054,-35.2659130769495,-11.8193814030567,3.43712026597022,661.618995956475
759,8,"1,2,3,5,6,7,8,10",0.994805342634194,0.994348669459178,0.124350667829274,-33.2727875349412,-7.22108567506029,3.43688399070282,661.618995956475
767,9,"1,2,3,4,5,6,7,8,10",0.994805618286096,0.994286180114705,0.110533957587344,-31.2780941258667,-2.62122207999765,3.43670161416789,661.618995956475
1023,10,"1,2,3,4,5,6,7,8,9,10",0.994805640964111,0.994222005117382,0.0994805640964111,-29.2785307141943,1.98351151766278,3.43668660996254,661.618995956475
