"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.111510169000739,0.184347122989163,0.0290835991005637,0.587190993449602,0.111510169000739,0.587190993449602,0.102443946235441,0.582978656648068,261.565065588558,269.380576146522
2,45,0.110236191602925,0.115684427372732,0.0773171157540272,0.431379812209914,0.220472383205849,0.862759624419828,0.204399648838959,0.859929925954258,153.43995784159,163.860638585542
3,120,0.108861317233383,0.0860943741958262,0.0829948646943231,0.326671539025658,0.326583951700149,0.980014617076973,0.305539700190779,0.979390073860628,-37.2333223736066,-24.2074714436662
4,210,0.107406235258013,0.0676330294062045,0.0934840644996057,0.245082895630359,0.429624941032052,0.980331582521436,0.405609149075507,0.979503438627601,-36.83202006286,-21.2009989469315
5,252,0.105891573077318,0.0541987196366942,0.109879006869775,0.196088669632479,0.529457865386588,0.980443348162394,0.504429028439066,0.979403100724224,-35.4018900229343,-17.1656987210176
6,210,0.104337271247529,0.0434869694606395,0.10822791840584,0.163428735325165,0.626023627485171,0.980572411950989,0.601896119580989,0.979319019173633,-34.064025596222,-13.2226641083172
7,120,0.102762129285727,0.0343318485062183,0.101535774929656,0.14009453293826,0.719334905000091,0.980661730567823,0.697979952119663,0.979190340502331,-32.5248371489253,-9.07830547503246
8,45,0.101183439738863,0.0259744822250878,0.109319320792602,0.122590445313208,0.809467517910906,0.980723562505668,0.792717409595381,0.979028930638034,-30.8450881393489,-4.793386279468
9,10,0.0996166811253692,0.0177699369041052,0.108957715223715,0.108972160854949,0.896550130128323,0.980749447694544,0.886205143141155,0.978824392463998,-28.9794624722817,-0.322590426412646
10,1,0.0980752296436926,NA,0.0980752296436926,0.0980752296436926,0.980752296436926,0.980752296436926,0.978589633115232,0.978589633115232,-26.9942618044728,4.26778042738429
