"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.097732699192169,0.165889360347222,0.00463009494490596,0.441467272489844,0.097732699192169,0.441467272489844,0.0885258900002525,0.435767958943822,270.935067350354,278.750577908318
2,45,0.0980207199434608,0.107607167771305,0.0486765058404806,0.425998688318119,0.196041439886922,0.851997376636239,0.179464974729951,0.848945776154512,140.12674568051,150.547426424462
3,120,0.0982903228152255,0.0827568405729866,0.123447718698499,0.333333333333333,0.294870968445676,1,0.272835686209604,1,-6867.60283613546,-6854.57698520552
4,210,0.098546663101274,0.067164511016856,0.106011590050503,0.25,0.394186652405096,1,0.368678721980047,1,-6866.37774631431,-6850.74672519838
5,252,0.0987941818555901,0.0555899100840983,0.0931589377380188,0.2,0.493970909277951,1,0.467054468282097,1,-6865.16051268349,-6846.92432138158
6,210,0.099036583405226,0.0460493116658498,0.0914946489748047,0.166666666666667,0.594219500431356,1,0.568040113362411,1,-6863.34290643804,-6842.50154495013
7,120,0.099276793456813,0.0375130146749863,0.0892563524394775,0.142857142857143,0.694937554197691,1,0.671726281147515,1,-6861.5718529176,-6838.1253212437
8,45,0.0995168855823226,0.0292637062605613,0.106851147912369,0.125,0.79613508465858,1,0.778212894298895,1,-6859.73326966504,-6833.68156780516
9,10,0.0997579650473876,0.020622450930567,0.111111111111111,0.111111111111111,0.897821685426488,1,0.887603853969137,1,-6857.84006460412,-6829.18319255825
10,1,0.1,NA,0.1,0.1,1,1,1,1,-6855.87794087981,-6824.61589864795
