"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.110438819681184,0.201631419331268,0.0152553024751492,0.501318794764223,0.110438819681184,0.501318794764223,0.101361664779972,0.496230211037327,286.983887834248,294.799398392212
2,45,0.109263931782705,0.125360875233571,0.0267026111294396,0.432653073399608,0.21852786356541,0.865306146799217,0.202415036010057,0.862528953949716,158.087630313839,168.508311057792
3,120,0.108034321459552,0.0922920181929702,0.161226413442576,0.328780212174348,0.324102964378656,0.986340636523045,0.302981182015489,0.98591378141439,-68.7702890513931,-55.7444381214527
4,210,0.1067599573792,0.0716135149951922,0.124977958230166,0.246678116233391,0.427039829516799,0.986712464933563,0.402915190759611,0.986152989772871,-69.5301763264304,-53.8991552105019
5,252,0.105450788901082,0.0565998609019005,0.110181232283191,0.197354964606037,0.527253944505408,0.986774823030187,0.502107877723781,0.986071356170091,-68.0005786868252,-49.7643873849086
6,210,0.104116412986101,0.044720145401865,0.101206277984813,0.164470257641816,0.624698477916608,0.986821545850894,0.600485476491873,0.985971323002564,-66.3544911412515,-45.5131296533468
7,120,0.102765755994759,0.0347100295637315,0.088838919783829,0.140980336905384,0.719360291963316,0.98686235833769,0.698007270699655,0.985862755167732,-64.6646626789237,-41.2181310050309
8,45,0.101406773221853,0.025773117904694,0.108537624559932,0.123360119872049,0.811254185774823,0.986880958976389,0.794661147161621,0.985727636688599,-62.8063457851418,-36.7546439252608
9,10,0.100046168330333,0.0172723118908319,0.109647926895344,0.109654074504314,0.900415514972994,0.986886670538822,0.890457066470293,0.985575337592704,-60.84989169745,-32.193019651581
10,1,0.098689134911433,NA,0.098689134911433,0.098689134911433,0.98689134911433,0.98689134911433,0.985418466992345,0.985418466992345,-58.8855760774707,-27.6235338456136
