"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.101955442295691,0.194470239273919,0.0070203831637729,0.583923769001953,0.101955442295691,0.583923769001953,0.0927917223191166,0.579678093175442,260.00764785429,267.823158412255
2,45,0.101736651539957,0.123916690476803,0.043587707556426,0.44444032796344,0.203473303079915,0.88888065592688,0.187050072215583,0.886589535430527,129.981278303694,140.401959047647
3,120,0.101511562565276,0.0936696088514948,0.104792655487105,0.333333333333333,0.304534687695828,1,0.282801396686323,1,-6804.72359403768,-6791.69774310774
4,210,0.101282647454046,0.0747620813811632,0.0937411680041158,0.25,0.405130589816183,1,0.380083456755812,1,-6803.99729551773,-6788.3662744018
5,252,0.101052693470399,0.0608869277825672,0.101349951532561,0.2,0.505263467351996,1,0.478947694338804,1,-6853.05190712691,-6834.81571582499
6,210,0.100824757783996,0.0496576995882138,0.105936570853806,0.166666666666667,0.604948546703975,1,0.579461356168747,1,-6851.71676838325,-6830.87540689534
7,120,0.10060210505879,0.0398517356175399,0.0975868427002524,0.142857142857143,0.704214735411529,1,0.681709334845014,1,-6850.01169449233,-6826.56516281844
8,45,0.100388134039957,0.0306470563780311,0.111931191354462,0.125,0.803105072319655,1,0.785795628127976,1,-6848.12115387652,-6822.06945201664
9,10,0.100186295782812,0.0213069102248214,0.111111111111111,0.111111111111111,0.901676662045309,1,0.89184432824984,1,-6845.49996177628,-6816.84308973042
10,1,0.1,NA,0.1,0.1,1,1,1,1,-6722.24719967294,-6690.98515744108
