"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
512,1,"10",0.448264116399712,0.442634158403791,0.448264116399712,301.944061941628,309.759572499592,112.92611315852,204.674222785065
516,2,"3,10",0.880569823644544,0.878107345781545,0.440284911822272,150.910306170402,161.330986914355,24.4442785226363,204.674222785065
518,3,"2,3,10",1,1,0.333333333333333,-6759.07842864034,-6746.0525777104,2.34310396233404e-29,204.674222785065
519,4,"1,2,3,10",1,1,0.25,-6698.76799695677,-6683.13697584084,4.19788508316984e-29,204.674222785065
527,5,"1,2,3,4,10",1,1,0.2,-6681.07496135739,-6662.83877005547,4.91116508984625e-29,204.674222785065
543,6,"1,2,3,4,5,10",1,1,0.166666666666667,-6706.16821338669,-6685.32685189879,3.7455882567557e-29,204.674222785065
575,7,"1,2,3,4,5,6,10",1,1,0.142857142857143,-6727.1865317373,-6703.74000006341,2.97545062773057e-29,204.674222785065
639,8,"1,2,3,4,5,6,7,10",1,1,0.125,-6708.91597941383,-6682.86427755395,3.50118338821666e-29,204.674222785065
767,9,"1,2,3,4,5,6,7,8,10",1,1,0.111111111111111,-6721.09861643393,-6692.44174438806,3.03822861170058e-29,204.674222785065
1023,10,"1,2,3,4,5,6,7,8,9,10",1,1,0.1,-6718.50705473891,-6687.24501250705,3.05625487403793e-29,204.674222785065
