"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,10,0.0947229046198663,0.169522230933652,0.00712814286165758,0.531272680780707,0.0947229046198663,0.531272680780707,0.0854853832384363,0.526489748951939,328.458920432848,336.274430990812
2,45,0.0952017900701693,0.110616350678588,0.0694387499100072,0.388119205519927,0.190403580140339,0.776238411039854,0.173710870452511,0.771624770030366,256.514916392897,266.93559713685
3,120,0.0956630401395749,0.0855225330790712,0.0706207075454415,0.328894410745956,0.286989120418725,0.986683232237869,0.26470753043181,0.986267083245302,-23.6408010955232,-10.6149501655827
4,210,0.0961117375295065,0.0697387330584436,0.0735457289993521,0.246798071385644,0.384446950118026,0.987192285542576,0.358528926965101,0.986653013354895,-25.5384304754084,-9.90740935947982
5,252,0.0965525705577335,0.0579665762709792,0.0920101764313717,0.197480882351165,0.482762852788667,0.987404411755822,0.455250238575298,0.986734433657728,-25.2085372826665,-6.97234598074983
6,210,0.0969898595244455,0.048203008540296,0.109315591093179,0.164591514709202,0.581939157146673,0.987549088255212,0.554967489865813,0.986745803626516,-24.3638133377583,-3.5224518498536
7,120,0.0974275524225987,0.0394055224109021,0.10937196220385,0.14109387066495,0.681992866958191,0.987657094654652,0.657796672052836,0.986717960552288,-23.235055407851,0.211476266041792
8,45,0.0978691728140091,0.0308401897784783,0.0974091255932813,0.123463118609316,0.782953382512073,0.987704948874527,0.763872361194453,0.986624065259101,-21.6235152227663,4.42818663711461
9,10,0.0983177022714633,0.0218003136461192,0.109730425024544,0.109748887437225,0.884859320443169,0.987739986935022,0.873345252487486,0.986513985628524,-19.9088989953623,8.7479730505067
10,1,0.0987753786800131,NA,0.0987753786800131,0.0987753786800131,0.987753786800131,0.987753786800131,0.98637780778891,0.98637780778891,-18.0215223460014,13.2405198858557
