"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
2,1,"2",0.337480274399502,0.330719869036232,0.337480274399502,382.893858749897,390.709369307862,253.720104104388,382.962339535505
3,2,"1,2",0.629861717252916,0.622230000082873,0.314930858626458,326.676492856075,337.097173600027,141.749022712478,382.962339535505
7,3,"1,2,3",0.673607134929213,0.663407357895751,0.224535711643071,316.099001897706,329.124852827647,124.996175215205,382.962339535505
263,4,"1,2,3,9",0.682978022832098,0.669629729056607,0.170744505708024,315.185935567006,330.816956682935,121.407478060391,382.962339535505
271,5,"1,2,3,4,9",0.688641069990773,0.672079424777517,0.137728213998155,315.383461807541,333.619653109458,119.238744271605,382.962339535505
303,6,"1,2,3,4,6,9",0.693567980459936,0.673798172747674,0.115594663409989,315.788419041232,336.629780529137,117.351923111653,382.962339535505
815,7,"1,2,3,4,6,9,10",0.697593013128389,0.674583785866419,0.099656144732627,316.466200436316,339.912732110209,115.810487184235,382.962339535505
879,8,"1,2,3,4,6,7,9,10",0.698099989136816,0.671559328841152,0.0872624986421021,318.298412828604,344.350114688485,115.616334465959,382.962339535505
895,9,"1,2,3,4,5,6,7,9,10",0.69838360479675,0.668221965276425,0.07759817831075,320.204425100032,348.861297145901,115.507720349302,382.962339535505
1023,10,"1,2,3,4,5,6,7,8,9,10",0.698444908096616,0.66456231350073,0.0698444908096616,322.184098111311,353.446140343168,115.484243494164,382.962339535505
