"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.504966962930442,0.499915605409324,0.504966962930442,295.795393237806,303.610903795771,106.191816877708,214.514605946969
3,2,"1,2",0.833193615515179,0.829754308618585,0.41659680775759,189.016319596185,199.437000340138,35.7824058372,214.514605946969
7,3,"1,2,3",0.914927117240481,0.912268589654246,0.304975705746827,123.683776380648,136.709627310588,18.2493759219309,214.514605946969
39,4,"1,2,3,6",0.917552989467503,0.914081536392451,0.229388247366876,122.548522088585,138.179543204514,17.6860879758842,214.514605946969
55,5,"1,2,3,5,6",0.919713375893745,0.91544281078171,0.183942675178749,121.893246354031,140.129437655948,17.2226535329657,214.514605946969
567,6,"1,2,3,5,6,10",0.920460041689686,0.915328431476117,0.153410006948281,122.958894612639,143.800256100544,17.0624828139754,214.514605946969
823,7,"1,2,3,5,6,9,10",0.921042954808655,0.915035353544096,0.131577564972665,124.223340331801,147.669872005694,16.9374394359584,214.514605946969
887,8,"1,2,3,5,6,7,9,10",0.921147064220097,0.914214937997688,0.115143383027512,126.091397566325,152.143099426206,16.9151064465876,214.514605946969
1015,9,"1,2,3,5,6,7,8,9,10",0.921165786028828,0.913282364631711,0.102351754003203,128.067652056499,156.724524102368,16.911090345165,214.514605946969
1023,10,"1,2,3,4,5,6,7,8,9,10",0.921167464486813,0.912309876226904,0.0921167464486813,130.065522935438,161.327565167295,16.9107302914118,214.514605946969
