"p","n_models","Mp_mean","Mp_sd","Mp_median","Mp_max","R2_mean","R2_max","adjR2_mean","adjR2_max","AIC_min","BIC_min"
1,11,0.0901729200284452,0.182664500281421,0.00561198611107028,0.557732830668751,0.0901729200284452,0.557732830668751,0.0808889702328171,0.553219900369452,266.008544825221,273.824055383186
2,55,0.0901188863491494,0.117538532230914,0.00780826728127709,0.431211342195934,0.180237772698299,0.862422684391868,0.163335458733315,0.859586038709226,151.235734769331,161.656415513283
3,165,0.0900661540660868,0.0896762265482174,0.030728068293255,0.326446145372009,0.270198462198261,0.979338436116027,0.247392164141956,0.978692762244653,-36.3553549666433,-23.3295040367028
4,330,0.090012489544227,0.0723568213042648,0.0845431830947266,0.245608593843459,0.360049958176908,0.982434375373837,0.333104693258041,0.981694770126419,-50.588486079039,-34.9574649631104
5,462,0.0899558289770296,0.0597625412440678,0.0856863710863623,0.196690098486367,0.449779144885148,0.983450492431833,0.42051207812372,0.98257019947608,-54.5472359525333,-36.3110446506167
6,462,0.0898943714722946,0.0497101124983037,0.0949721719256276,0.163972803117881,0.539366228833767,0.983836818707287,0.509647921016591,0.982794032817435,-54.9092810825444,-34.0679195946397
7,330,0.0898266665739303,0.0411173181076791,0.0944576320876776,0.140569671900386,0.628786666017512,0.983987703302699,0.600542173214497,0.982769376380078,-53.8471736073679,-30.400641933475
8,165,0.0897516890977447,0.03331625739043,0.108368847409296,0.123017226718852,0.718013512781957,0.984137813750813,0.693223491927624,0.982743335838797,-52.7890653276615,-26.7373634677805
9,55,0.0896688951713537,0.025777661795613,0.108921966641937,0.109360168535616,0.807020056542184,0.984241516820544,0.787722062196402,0.982665668502599,-51.4449871876901,-22.7881151418211
10,11,0.0895782566669051,0.0179559890122573,0.0983804173436941,0.0984278459660896,0.895782566669051,0.984278459660896,0.884072742699282,0.982511994454255,-49.6796938567541,-18.417651624897
11,1,0.0894802745090936,NA,0.0894802745090936,0.0894802745090936,0.984283019600029,0.984283019600029,0.982318397050033,0.982318397050033,-47.7087024682184,-13.8414900503732
