"model_id","p","subset_str","R2","adjR2","Mp","AIC","BIC","RSS","TSS"
1,1,"1",0.557732830668751,0.553219900369452,0.557732830668751,266.008544825221,273.824055383186,78.8366955337342,178.255816846959
3,2,"1,2",0.862422684391868,0.859586038709226,0.431211342195934,151.235734769331,161.656415513283,24.5239567733395,178.255816846959
7,3,"1,2,3",0.979338436116027,0.978692762244653,0.326446145372009,-36.3553549666433,-23.3295040367028,3.68304394747329,178.255816846959
39,4,"1,2,3,6",0.982434375373837,0.981694770126419,0.245608593843459,-50.588486079039,-34.9574649631104,3.13117476616381,178.255816846959
47,5,"1,2,3,4,6",0.983450492431833,0.98257019947608,0.196690098486367,-54.5472359525333,-36.3110446506167,2.95004598997845,178.255816846959
1071,6,"1,2,3,4,6,11",0.983836818707287,0.982794032817435,0.163972803117881,-54.9092810825444,-34.0679195946397,2.88118108417802,178.255816846959
1327,7,"1,2,3,4,6,9,11",0.983987703302699,0.982769376380078,0.140569671900386,-53.8471736073679,-30.400641933475,2.85428502737332,178.255816846959
1455,8,"1,2,3,4,6,8,9,11",0.984137813750813,0.982743335838797,0.123017226718852,-52.7890653276615,-26.7373634677805,2.82752696682736,178.255816846959
1519,9,"1,2,3,4,6,7,8,9,11",0.984241516820544,0.982665668502599,0.109360168535616,-51.4449871876901,-22.7881151418211,2.80904129142297,178.255816846959
2031,10,"1,2,3,4,6,7,8,9,10,11",0.984278459660896,0.982511994454255,0.0984278459660896,-49.6796938567541,-18.417651624897,2.80245601523946,178.255816846959
2047,11,"1,2,3,4,5,6,7,8,9,10,11",0.984283019600029,0.982318397050033,0.0894802745090936,-47.7087024682184,-13.8414900503732,2.80164317956441,178.255816846959
