"iteration","seed","p","R2","M_p","AIC","BIC","p_star_sigmoid","p_star_aic","p_star_bic","M_p_fitted"
1,1001,1,0.333326465339471,0.333326465339471,2264.77544773301,2268.99005583143,3,7,7,0.336866646681525
1,1001,2,0.617977458136478,0.308988729068239,1988.3650198169,1996.79423601375,3,7,7,0.301831434964837
1,1001,3,0.789232176390751,0.26307739213025,1693.00379412307,1705.64761841833,3,7,7,0.263988057874824
1,1001,4,0.889081871398094,0.222270467849524,1374.02138582878,1390.87981822247,3,7,7,0.226440702418518
1,1001,5,0.955964086570665,0.191192817314133,914.127968976956,935.201009469067,3,7,7,0.192199427249167
1,1001,6,0.982698952812257,0.163783158802043,449.008726704757,474.29637529529,3,7,7,0.163292308424049
1,1001,7,0.999729992082602,0.142818570297515,-1629.02678703239,-1599.52453034344,3,7,7,0.140436424249456
1,1001,8,0.999730112185776,0.124966264023222,-1627.24924327403,-1593.53237848665,3,7,7,0.123283618499181
1,1001,9,0.999730138378557,0.111081126486506,-1625.29777094247,-1587.36629805667,3,7,7,0.110908203785023
1,1001,10,0.999730159853078,0.0999730159853078,-1623.3375605476,-1581.19147956338,3,7,7,0.102231183149626
2,1002,1,0.335630669915769,0.335630669915769,2237.05352303873,2241.26813113715,2,7,7,0.335704467778642
2,1002,2,0.596598642370761,0.298299321185381,1989.60041110437,1998.02962730121,2,7,7,0.295983576980431
2,1002,3,0.764898994303473,0.254966331434491,1721.64203225195,1734.28585654722,2,7,7,0.257096821407079
2,1002,4,0.877246732207979,0.219311683051995,1398.72260953577,1415.58104192946,2,7,7,0.221074665480017
2,1002,5,0.948138771853544,0.189627754370709,969.920146508984,990.993187001095,2,7,7,0.189375531192249
2,1002,6,0.980018669456825,0.163336444909471,495.033597991639,520.321246582172,2,7,7,0.162716139254641
2,1002,7,0.999740572685592,0.142820081812227,-1675.00494150134,-1645.50268481238,2,7,7,0.141136346001631
2,1002,8,0.999741213121241,0.124967651640155,-1674.24079336284,-1640.52392857547,2,7,7,0.124202564148564
2,1002,9,0.999741610147263,0.111082401127474,-1673.00847310629,-1635.0770002205,2,7,7,0.111235564629566
2,1002,10,0.999741967552754,0.0999741967552754,-1671.70055311128,-1629.55447212706,2,7,7,0.101490859166619
3,1003,1,0.330119397178011,0.330119397178011,2282.65218322186,2286.86679132028,3,8,7,0.3358986895097
3,1003,2,0.628104212711866,0.314052106355933,1990.40927400497,1998.83849020181,3,8,7,0.3006836614635
3,1003,3,0.770214496953639,0.256738165651213,1751.67557650863,1764.3194008039,3,8,7,0.262767792383145
3,1003,4,0.886139502222589,0.221534875555647,1402.58943501659,1419.44786741028,3,8,7,0.225289820904429
3,1003,5,0.951070053186786,0.190214010637357,982.297246492669,1003.37028698478,3,8,7,0.191248648973969
3,1003,6,0.983660849298971,0.163943474883162,435.884493041078,461.172141631611,3,8,7,0.162623497855041
3,1003,7,0.999698949373299,0.142814135624757,-1559.1359793378,-1529.63372264885,3,8,7,0.140072602538577
3,1003,8,0.999700551291904,0.124962568911488,-1559.80362992667,-1526.08676513929,3,8,7,0.123202759276316
3,1003,9,0.999701353409537,0.111077928156615,-1559.14475084215,-1521.21327795635,3,8,7,0.111064921617473
3,1003,10,0.99970144351724,0.099970144351724,-1557.29563369561,-1515.14955271139,3,8,7,0.102574412500915
4,1004,1,0.33367190493231,0.33367190493231,2305.24072036616,2309.45532846458,3,7,7,0.338176068785993
4,1004,2,0.62858095652377,0.314290478261885,2015.01508935296,2023.4443055498,3,7,7,0.305548634864361
4,1004,3,0.800706009608099,0.2669020032027,1705.74016472308,1718.38398901835,3,7,7,0.268236307414378
4,1004,4,0.902428675480445,0.225607168870111,1350.64145017876,1367.49988257245,3,7,7,0.22967625587229
4,1004,5,0.96000759573425,0.19200151914685,906.694399492863,927.767439984974,3,7,7,0.19378057773567
4,1004,6,0.98418483852362,0.164030806420603,444.834161648119,470.121810238653,3,7,7,0.163472830637466
4,1004,7,0.999739080264212,0.142819868609173,-1605.42159420588,-1575.91933751692,3,7,7,0.139922036117838
4,1004,8,0.999739454165228,0.124967431770653,-1604.13861389247,-1570.4217491051,3,7,7,0.122775285948425
4,1004,9,0.999739818369093,0.11108220204101,-1602.83802759463,-1564.90655470883,3,7,7,0.110874083188464
4,1004,10,0.999739899368328,0.0999739899368328,-1600.99371084795,-1558.84762986373,3,7,7,0.102885292923512
5,1005,1,0.330422713237413,0.330422713237413,2234.75431554425,2238.96892364268,2,7,7,0.324469492953682
5,1005,2,0.560153555810586,0.280076777905293,2026.64385430818,2035.07307050503,2,7,7,0.288394597718382
5,1005,3,0.753546434817979,0.251182144939326,1739.01781614407,1751.66164043934,2,7,7,0.252864896798886
5,1005,4,0.89381844555732,0.22345461138933,1320.00621991805,1336.86465231174,2,7,7,0.21951338549043
5,1005,5,0.952771767563395,0.190554353512679,916.926945855766,937.999986347877,2,7,7,0.189588841299049
5,1005,6,0.981997912007067,0.163666318667844,436.674891935077,461.96254052561,2,7,7,0.163807680187337
5,1005,7,0.999728630228727,0.142818375746961,-1658.70544270432,-1629.20318601536,2,7,7,0.142361988846045
