"p","R2","M_p","AIC","BIC"
1,0.49735079896091,0.49735079896091,1211.52650546969,1215.74111356811
2,0.819345620927363,0.409672810463681,701.873097766101,710.302313962945
3,0.997959700165362,0.332653233388454,-1537.87136379686,-1525.22753950159
4,0.997973549203932,0.249493387300983,-1539.27680793724,-1522.41837554355
5,0.997984801055824,0.199596960211165,-1540.06079014369,-1518.98774965158
6,0.997991927523675,0.166331987920612,-1539.83210372388,-1514.54445513335
7,0.997996335631073,0.142570905090153,-1538.93090689629,-1509.42865020734
8,0.997996850946067,0.124749606368258,-1537.05951657743,-1503.34265179006
9,0.99799712189054,0.110888569098949,-1535.12715078516,-1497.19567789936
10,0.997997200288667,0.0997997200288668,-1533.14672253579,-1491.00064155157
