"p","R2","M_p","AIC","BIC"
1,0.326079665151748,0.326079665151748,1385.2821014655,1389.49670956393
2,0.652990413485329,0.326495206742664,1055.40235148389,1063.83156768074
3,0.998297948861235,0.332765982953745,-1601.35681373173,-1588.71298943646
4,0.998310111369256,0.249577527842314,-1602.94253782278,-1586.08410542909
5,0.998318601299755,0.199663720259951,-1603.46084837081,-1582.3878078787
6,0.998319597650442,0.166386599608407,-1601.7572224576,-1576.46957386707
7,0.998320305264708,0.142617186466387,-1599.96781585973,-1570.46555917077
8,0.998320426887573,0.124790053360947,-1598.00402103019,-1564.28715624282
9,0.998320496405304,0.110924499600589,-1596.02471651795,-1558.09324363215
10,0.998320497070304,0.0998320497070304,-1594.02491449324,-1551.87883350902
