"p","R2","M_p","AIC","BIC"
1,0.223582290726397,0.223582290726397,1798.9333396458,1803.14794774422
2,0.454282579477793,0.227141289738897,1624.63865786335,1633.06787406019
3,0.644790470876321,0.214930156958774,1411.94192851573,1424.585752811
4,0.812167115301243,0.203041778825311,1095.36433756138,1112.22276995507
5,0.99906245980724,0.199812491961448,-1552.65981549708,-1531.58677500497
6,0.999066335010701,0.166511055835117,-1552.73078507211,-1527.44313648158
7,0.99906899276338,0.14272414182334,-1552.15610499819,-1522.65384830923
8,0.999069595136178,0.124883699392022,-1550.47971566923,-1516.76285088185
9,0.999069945188677,0.111007771687631,-1548.66786943978,-1510.73639655399
10,0.999070295230124,0.0999070295230124,-1546.85608809708,-1504.71000711286
